ds_sigla,loja,idestabelecimento,
1,Rua,2,
2,Rua,3,
3,Rua,7,
4,Rua,8,
5,Rua,11,
6,Shopping,17,
7,Shopping,12,
8,Shopping,177,
9,Rua,13,
10,,14,
11,Shopping,74,
12,Shopping,19,
13,Shopping,20,
16,Rua,15,
17,Shopping,16,
18,Shopping,22,
19,Shopping,24,
20,Shopping,25,
22,Rua,27,
23,Shopping,30,
24,Rua,54,
26,Shopping,72,
28,Rua,100,
31,Shopping,61,
32,Shopping,64,
34,Rua,68,
35,Rua,70,
36,Shopping,67,
37,Rua,65,
38,Shopping,66,
39,Rua,58,
40,Shopping,60,
41,Rua,183,
42,Rua,69,
43,Shopping,129,
44,Shopping,138,
45,Rua,182,
47,Shopping,159,
48,Rua,171,
49,Rua,172,
53,Shopping,186,
54,Rua,187,
58,Shopping,191,
60,Shopping,193,
61,Rua,194,
62,Rua,195,
63,Rua,196,
64,Rua,197,
65,Rua,199,
66,Rua,200,
67,Shopping,201,
68,Rua,203,
69,Rua,281,
70,Shopping,285,
71,Shopping,286,
72,Shopping,287,
73,Shopping,363,
74,Shopping,364,
101,Rua,141,
102,Rua,142,
105,Rua,144,
106,Rua,181,
108,Rua,146,
109,Rua,147,
111,Rua,149,
113,Rua,151,
114,Rua,152,
115,Rua,153,
116,Rua,154,
117,Rua,155,
118,Rua,156,
119,Rua,157,
120,Rua,158,
121,Rua,168,
122,Shopping,160,
123,Rua,167,
124,Rua,161,
125,Rua,162,
126,Rua,163,
127,Rua,145,
128,Rua,164,
201,Rua,223,
202,Rua,277,
204,Rua,256,
205,Rua,362,
208,Rua,258,
209,Rua,259,
211,Shopping,261,
212,Rua,262,
214,Rua,263,
215,Rua,264,
216,Rua,265,
217,Shopping,266,
218,Shopping,267,
219,Rua,268,
221,Rua,269,
223,Shopping,270,
224,Rua,271,
225,Rua,272,
226,Shopping,273,
227,Rua,274,
228,Rua,275,
302,Rua,291,
306,Shopping,292,
317,Rua,293,
318,Rua,294,
319,Rua,295,
323,Shopping,296,
326,Shopping,297,
327,Shopping,298,
333,Rua,299,
337,Shopping,301,
338,Shopping,302,
339,Shopping,303,
343,Shopping,304,
345,Shopping,305,
346,Shopping,349,
347,Shopping,306,
349,Shopping,350,
351,Shopping,351,
352,Shopping,308,
353,Shopping,309,
355,Shopping,352,
356,Rua,317,
359,Shopping,353,
362,Shopping,311,
363,Shopping,354,
364,Shopping,312,
367,Shopping,314,
378,Shopping,315,
382,Shopping,316,
391,Shopping,347,
404,Rua,318,
411,Rua,319,
413,Rua,320,
414,Rua,321,
415,Rua,322,
417,Rua,323,
419,Shopping,324,
421,Shopping,325,
422,Shopping,326,
423,Rua,327,
424,Rua,328,
426,Rua,329,
427,Shopping,330,
428,Shopping,331,
430,Shopping,332,
431,Rua,333,
432,Shopping,334,
434,Rua,335,
436,Rua,336,
439,Shopping,337,
440,Shopping,338,
441,Shopping,339,
444,Shopping,340,
445,Shopping,341,
446,Shopping,342,
447,Shopping,343,
449,Shopping,344,
502,-,289,
503,-,360,
203,Rua,260,
076,Rua,377,
075,Shopping,370,
052,Rua,380,
077,Shopping,381,
078,Shopping,382,
348,Shopping,376,
079,Rua,384,
229,Rua,385,
450,Shopping,383